,0
615,-4999.305258341153
616,-4995.283406708644
617,-4991.269980635026
618,-4987.264950577052
619,-4983.268287135683
620,-4979.2799610551765
621,-4975.29994322221
622,-4971.32820466499
623,-4967.364716552385
624,-4963.409450193049
625,-4959.46237703456
626,-4955.52346866257
627,-4951.592696799945
628,-4947.670033305931
629,-4943.755450175312
630,-4939.84891953758
631,-4935.950413656108
632,-4932.059904927333
633,-4928.177365879951
634,-4924.302769174087
635,-4920.4360876005285
636,-4916.577294079896
637,-4912.726361661878
638,-4908.883263524443
639,-4905.047972973045
640,-4901.220463439882
641,-4897.400708483101
642,-4893.588681786055
643,-4889.78435715654
644,-4885.98770852605
645,-4882.19870994903
646,-4878.417335602138
647,-4874.643559783513
648,-4870.877356912045
649,-4867.118701526651
650,-4863.367568285563
651,-4859.623931965615
652,-4855.887767461527
653,-4852.15904978521
654,-4848.437754065073
655,-4844.723855545324
656,-4841.017329585283
657,-4837.318151658705
658,-4833.626297353098
659,-4829.941742369054
660,-4826.264462519578
661,-4822.594433729429
662,-4818.9316320344615
663,-4815.2760335809635
664,-4811.6276146250275
665,-4807.986351531881
666,-4804.3522207752685
667,-4800.725198936803
668,-4797.105262705343
669,-4793.492388876362
670,-4789.886554351329
671,-4786.287736137093
672,-4782.695911345263
673,-4779.111057191609
674,-4775.533150995449
675,-4771.9621701790575
676,-4768.39809226706
677,-4764.840894885849
678,-4761.290555762995
679,-4757.747052726656
680,-4754.210363705009
681,-4750.68046672567
682,-4747.157339915118
683,-4743.640961498136
684,-4740.131309797237
685,-4736.628363232119
686,-4733.132100319095
687,-4729.642499670549
688,-4726.159539994388
689,-4722.683200093493
690,-4719.2134588651825
691,-4715.750295300677
692,-4712.29368848456
693,-4708.843617594262
694,-4705.400061899509
695,-4701.963000761829
696,-4698.532413634019
697,-4695.108280059627
698,-4691.690579672453
699,-4688.279292196027
700,-4684.874397443115
701,-4681.475875315208
702,-4678.083705802039
703,-4674.697868981071
704,-4671.318345017023
705,-4667.9451141613645
706,-4664.578156751851
707,-4661.2174532120225
708,-4657.862984050744
709,-4654.514729861719
710,-4651.172671323024
711,-4647.836789196634
712,-4644.507064327968
713,-4641.183477645412
714,-4637.866010159879
715,-4634.554642964331
716,-4631.249357233351
717,-4627.9501342226695
718,-4624.656955268735
719,-4621.369801788264
720,-4618.088655277795
721,-4614.81349731326
722,-4611.544309549547
723,-4608.281073720062
724,-4605.023771636308
725,-4601.77238518745
726,-4598.526896339901
727,-4595.287287136897
728,-4592.053539698075
729,-4588.825636219063
730,-4585.603558971068
731,-4582.3872903004585
732,-4579.176812628368
733,-4575.972108450288
734,-4572.773160335658
735,-4569.579950927474
736,-4566.392462941894
737,-4563.21067916784
738,-4560.0345824666
739,-4556.864155771458
740,-4553.699382087284
741,-4550.540244490172
742,-4547.386726127046
743,-4544.238810215283
744,-4541.09648004234
745,-4537.959718965376
746,-4534.828510410885
747,-4531.702837874325
748,-4528.58268491975
749,-4525.468035179446
750,-4522.358872353571
751,-4519.2551802097905
752,-4516.156942582931
753,-4513.064143374612
754,-4509.9767665529025
755,-4506.89479615196
756,-4503.8182162716985
757,-4500.74701107743
758,-4497.681164799518
759,-4494.620661733051
760,-4491.565486237487
761,-4488.515622736324
762,-4485.471055716769
763,-4482.431769729392
764,-4479.39774938781
765,-4476.3689793683425
766,-4473.345444409706
767,-4470.327129312663
768,-4467.314018939721
769,-4464.306098214802
770,-4461.303352122926
771,-4458.305765709893
772,-4455.313324081971
773,-4452.326012405584
774,-4449.343815906992
775,-4446.366719872002
776,-4443.394709645637
